Wall time,Step,Value
1654665636.7443593,1246799,194.94374084472656
1654665640.144161,1246879,194.0012969970703
1654665643.616104,1246959,197.84426879882812
1654665647.0933745,1247039,193.70091247558594
1654665650.4746783,1247119,194.99298095703125
1654665653.9145596,1247199,195.20376586914062
1654665657.3439076,1247279,198.04420471191406
1654665660.8678904,1247359,196.79171752929688
1654665664.4345756,1247439,197.0030059814453
1654665667.9072757,1247519,195.84613037109375
1654665671.441066,1247599,195.58570861816406
1654665675.1411715,1247679,198.31591796875
1654665678.6102834,1247759,197.2272491455078
1654665682.21473,1247839,197.1326141357422
1654665685.77365,1247919,199.13046264648438
1654665689.3304608,1247999,197.82518005371094
1654665692.7642105,1248079,196.3188934326172
1654665696.1838033,1248159,198.43753051757812
1654665699.701856,1248239,199.04827880859375
1654665703.1928513,1248319,196.76622009277344
1654665706.8000839,1248399,197.6084442138672
1654665710.329174,1248479,197.57997131347656
1654665713.8756065,1248559,197.43295288085938
1654665717.4146202,1248639,197.51480102539062
1654665721.086006,1248719,195.6986083984375
1654665724.724318,1248799,199.91665649414062
1654665728.294292,1248879,196.17636108398438
1654665731.8794484,1248959,196.97665405273438
1654665735.40206,1249039,199.57200622558594
1654665738.9149833,1249119,200.63514709472656
1654665742.4232903,1249199,197.2386932373047
1654665746.0267382,1249279,196.08868408203125
1654665749.3889177,1249359,194.71559143066406
1654665752.8837333,1249439,197.18165588378906
1654665756.2086997,1249519,197.2729949951172
1654665759.6244373,1249599,196.11412048339844
1654665763.1158223,1249679,198.76922607421875
1654665766.6481009,1249759,195.3386688232422
1654665770.5360248,1249839,196.27703857421875
1654665774.0432026,1249919,195.7721710205078
1654665777.534139,1249999,197.53660583496094
1654665781.0304425,1250079,199.5159454345703
1654665784.596518,1250159,194.21255493164062
1654665788.1398108,1250239,195.9410400390625
1654665791.5355973,1250319,194.04025268554688
1654665795.0714283,1250399,194.2251434326172
1654665798.722809,1250479,195.9097442626953
1654665802.465086,1250559,195.4054718017578
1654665806.0354416,1250639,194.9197235107422
1654665809.6719768,1250719,193.06094360351562
1654665813.1545303,1250799,194.50868225097656
1654665816.744545,1250879,194.14065551757812
1654665820.5157952,1250959,195.41177368164062
1654665824.00484,1251039,195.43234252929688
1654665827.5168872,1251119,195.27110290527344
1654665831.0717459,1251199,195.9556427001953
1654665834.5247643,1251279,195.71986389160156
1654665838.0668862,1251359,197.48948669433594
1654665841.798619,1251439,198.35284423828125
1654665845.3857164,1251519,194.48968505859375
1654665848.9858305,1251599,195.60791015625
1654665852.5713813,1251679,197.82574462890625
1654665856.1572752,1251759,197.7735137939453
1654665859.8172476,1251839,201.1515350341797
1654665863.3827937,1251919,197.95281982421875
1654665866.8920014,1251999,195.50201416015625
1654665870.7111561,1252079,194.73980712890625
1654665874.6092634,1252159,198.25567626953125
1654665878.1510696,1252239,197.11390686035156
1654665881.8112423,1252319,196.54019165039062
1654665885.3702695,1252399,197.5929718017578
1654665888.8680537,1252479,196.69903564453125
1654665892.48714,1252559,197.69818115234375
1654665896.4298606,1252639,198.49560546875
1654665899.906116,1252719,197.4531707763672
1654665903.4964316,1252799,196.80203247070312
1654665907.1287026,1252879,197.546630859375
1654665910.7011433,1252959,195.49691772460938
1654665914.0880048,1253039,197.45849609375
1654665917.6368124,1253119,197.72396850585938
1654665921.1559918,1253199,197.96852111816406
1654665924.6684341,1253279,195.23974609375
1654665928.1825361,1253359,198.78330993652344
1654665931.7476993,1253439,197.6700439453125
1654665935.3350267,1253519,195.27548217773438
1654665938.8280818,1253599,193.9984893798828
1654665942.3184407,1253679,195.83367919921875
1654665945.8291833,1253759,198.02679443359375
1654665948.9384756,1253839,194.0482940673828
1654665952.638655,1253919,197.2667694091797
1654665956.2068937,1253999,195.4303436279297
1654665960.183846,1254079,196.7086181640625
1654665963.6805646,1254159,194.14076232910156
1654665967.1788483,1254239,197.61578369140625
1654665970.752164,1254319,194.99700927734375
1654665974.3185327,1254399,195.73162841796875
1654665977.806157,1254479,197.0235595703125
1654665981.3987992,1254559,199.1704559326172
1654665984.9011471,1254639,196.88331604003906
1654665988.5377789,1254719,199.26739501953125
1654665992.0261595,1254799,194.0049285888672
1654665995.627094,1254879,196.1119842529297
1654665999.1742072,1254959,196.5952606201172
1654666002.8553004,1255039,196.66368103027344
1654666006.547014,1255119,195.65875244140625
1654666009.9389696,1255199,196.7145538330078
1654666013.4547865,1255279,199.3486328125
1654666016.957304,1255359,197.78453063964844
1654666020.5187464,1255439,194.0051727294922
1654666024.0699785,1255519,191.72645568847656
1654666027.6088312,1255599,197.79249572753906
1654666031.175924,1255679,194.03924560546875
1654666034.678592,1255759,196.2292938232422
1654666038.1349847,1255839,197.8671112060547
1654666041.6221921,1255919,194.32913208007812
1654666045.13471,1255999,197.12637329101562
1654666048.5333798,1256079,196.46421813964844
1654666052.104758,1256159,194.80796813964844
1654666055.691512,1256239,194.39088439941406
1654666059.2478917,1256319,197.02322387695312
1654666062.8393092,1256399,192.76275634765625
1654666066.4080007,1256479,196.1981201171875
1654666069.9709535,1256559,194.841064453125
1654666073.514297,1256639,193.39564514160156
1654666077.0399764,1256719,192.581298828125
1654666080.7090836,1256799,194.3350067138672
1654666084.2831335,1256879,194.63748168945312
1654666088.1472628,1256959,194.32241821289062
1654666091.8664408,1257039,193.65553283691406
1654666095.432052,1257119,195.1058349609375
1654666099.022885,1257199,193.16651916503906
1654666102.5427215,1257279,198.8993682861328
1654666106.3202593,1257359,195.53805541992188
1654666109.7918513,1257439,198.05824279785156
1654666113.285638,1257519,197.15672302246094
1654666117.04407,1257599,195.29432678222656
1654666120.5376909,1257679,192.7023162841797
1654666124.017351,1257759,200.02847290039062
1654666127.5903385,1257839,193.39659118652344
1654666131.4701765,1257919,193.9935302734375
1654666135.3014724,1257999,196.679443359375
1654666138.9306135,1258079,191.6590576171875
1654666142.3935838,1258159,196.09075927734375
1654666145.9994445,1258239,194.748779296875
1654666149.55838,1258319,199.6470489501953
1654666153.1554105,1258399,198.43551635742188
1654666156.6524248,1258479,193.25909423828125
1654666160.3384514,1258559,196.203857421875
1654666163.955474,1258639,195.54266357421875
1654666167.5094976,1258719,194.54693603515625
1654666171.0688531,1258799,194.26669311523438
1654666174.566015,1258879,196.04110717773438
1654666178.2525916,1258959,197.7230682373047
1654666181.9729202,1259039,196.08201599121094
1654666185.5298903,1259119,198.0404052734375
1654666189.1112187,1259199,194.7086181640625
1654666192.6934497,1259279,196.65875244140625
1654666196.2574587,1259359,194.3847198486328
1654666199.8141327,1259439,196.66531372070312
1654666203.3492312,1259519,194.5850067138672
1654666206.8269467,1259599,197.98165893554688
1654666210.3116133,1259679,193.3662109375
1654666214.175299,1259759,197.3831024169922
1654666217.7981496,1259839,194.20338439941406
1654666221.3013594,1259919,197.33824157714844
1654666224.7877684,1259999,196.9069061279297
1654666228.3410842,1260079,197.22035217285156
1654666231.8385348,1260159,197.04525756835938
1654666235.3793283,1260239,198.01927185058594
1654666238.9381988,1260319,195.19422912597656
1654666242.308009,1260399,196.50106811523438
1654666245.9736767,1260479,196.0826416015625
1654666249.3814096,1260559,195.26904296875
1654666252.909998,1260639,194.4080047607422
1654666256.4938126,1260719,194.93338012695312
1654666259.7734542,1260799,195.46360778808594
1654666263.4298537,1260879,196.8502655029297
1654666267.0964737,1260959,198.32228088378906
1654666270.6454947,1261039,197.37171936035156
1654666274.3212767,1261119,195.37185668945312
1654666277.9927351,1261199,195.19105529785156
1654666281.6158934,1261279,196.8686981201172
1654666285.149034,1261359,197.66546630859375
1654666288.6714602,1261439,195.7191925048828
1654666292.156504,1261519,194.30116271972656
1654666295.715366,1261599,195.0908660888672
1654666299.1024985,1261679,197.6048583984375
1654666302.7782598,1261759,196.12252807617188
1654666306.3064256,1261839,196.61688232421875
1654666309.9172363,1261919,195.48004150390625
1654666313.4396586,1261999,198.6030731201172
1654666316.9353006,1262079,194.03173828125
1654666320.5739658,1262159,193.1414794921875
1654666324.1700084,1262239,192.1258544921875
1654666327.7366092,1262319,191.90390014648438
1654666331.114614,1262399,195.00936889648438
1654666334.646826,1262479,195.40048217773438
1654666338.2011125,1262559,192.90748596191406
1654666341.805846,1262639,193.34120178222656
1654666345.2673914,1262719,194.19900512695312
1654666348.9330094,1262799,193.8790740966797
1654666352.5109196,1262879,195.0411834716797
1654666356.001753,1262959,193.89219665527344
1654666359.6817641,1263039,190.83343505859375
1654666363.2308178,1263119,194.14736938476562
1654666366.7331293,1263199,190.98179626464844
1654666370.2376661,1263279,198.92218017578125
1654666373.8105915,1263359,190.20462036132812
1654666377.4403665,1263439,192.53192138671875
1654666381.0155203,1263519,191.22532653808594
1654666384.456695,1263599,193.0157928466797
1654666388.0696218,1263679,193.74298095703125
1654666391.6888196,1263759,194.41439819335938
1654666395.3620045,1263839,189.87191772460938
1654666398.8880622,1263919,191.59454345703125
1654666402.432527,1263999,190.85394287109375
1654666405.9530087,1264079,193.1353302001953
1654666409.4319606,1264159,192.92462158203125
1654666412.9761856,1264239,195.0404510498047
1654666416.4791508,1264319,194.01776123046875
1654666419.972592,1264399,194.2648162841797
1654666423.4574142,1264479,195.29922485351562
1654666427.0429814,1264559,194.75340270996094
1654666430.603106,1264639,195.7068634033203
1654666434.051954,1264719,193.67843627929688
1654666437.5540738,1264799,192.73446655273438
1654666441.1219628,1264879,194.77877807617188
1654666444.6142707,1264959,192.53778076171875
1654666448.0707574,1265039,190.00120544433594
1654666451.5850797,1265119,193.53204345703125
1654666455.067811,1265199,191.047607421875
1654666458.569206,1265279,192.07928466796875
1654666462.0579753,1265359,191.4568328857422
1654666465.5880687,1265439,192.61065673828125
1654666469.1962955,1265519,191.19908142089844
1654666472.6709297,1265599,192.414794921875
1654666476.4090216,1265679,195.21337890625
1654666479.9946077,1265759,191.87266540527344
1654666483.4910042,1265839,193.96249389648438
